
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        128 K
Registry                       108 Services                   0     26,984 K
smss.exe                       404 Services                   0        900 K
csrss.exe                      728 Services                   0      4,788 K
wininit.exe                    932 Services                   0      5,896 K
csrss.exe                      940 Console                    1      5,768 K
winlogon.exe                   436 Console                    1     10,004 K
services.exe                   428 Services                   0      9,720 K
lsass.exe                      780 Services                   0     21,724 K
svchost.exe                    836 Services                   0     31,632 K
fontdrvhost.exe                840 Console                    1      4,528 K
fontdrvhost.exe                800 Services                   0      2,256 K
WUDFHost.exe                  1084 Services                   0     12,168 K
svchost.exe                   1160 Services                   0     16,200 K
svchost.exe                   1204 Services                   0      9,036 K
WUDFHost.exe                  1256 Services                   0     12,248 K
dwm.exe                       1408 Console                    1     89,804 K
svchost.exe                   1480 Services                   0      7,540 K
svchost.exe                   1488 Services                   0     11,356 K
svchost.exe                   1508 Services                   0     23,060 K
svchost.exe                   1612 Services                   0     10,100 K
svchost.exe                   1620 Services                   0     11,320 K
svchost.exe                   1744 Services                   0      8,116 K
svchost.exe                   1760 Services                   0      6,272 K
IntelCpHDCPSvc.exe            1768 Services                   0      6,908 K
svchost.exe                   1780 Services                   0      7,440 K
svchost.exe                   1828 Services                   0     15,472 K
svchost.exe                   1924 Services                   0     12,636 K
svchost.exe                   1964 Services                   0     12,304 K
svchost.exe                   1376 Services                   0      7,496 K
svchost.exe                   1576 Services                   0      7,704 K
svchost.exe                   2076 Services                   0      8,140 K
svchost.exe                   2092 Services                   0     16,612 K
IntelCpHeciSvc.exe            2144 Services                   0      6,716 K
svchost.exe                   2164 Services                   0      7,712 K
svchost.exe                   2228 Services                   0     11,772 K
svchost.exe                   2308 Services                   0      9,232 K
igfxCUIService.exe            2340 Services                   0      8,536 K
svchost.exe                   2512 Services                   0      8,828 K
svchost.exe                   2568 Services                   0      5,872 K
svchost.exe                   2620 Services                   0      7,720 K
svchost.exe                   2732 Services                   0      5,568 K
svchost.exe                   2740 Services                   0     13,384 K
svchost.exe                   2840 Services                   0      7,600 K
svchost.exe                   2848 Services                   0      7,888 K
svchost.exe                   2908 Services                   0     12,680 K
Memory Compression            2936 Services                   0     25,320 K
svchost.exe                   3056 Services                   0      9,144 K
svchost.exe                   2272 Services                   0     19,908 K
svchost.exe                   1876 Services                   0      6,796 K
svchost.exe                   2204 Services                   0      6,616 K
svchost.exe                   3208 Services                   0     14,628 K
svchost.exe                   3308 Services                   0      8,792 K
svchost.exe                   3316 Services                   0      6,280 K
svchost.exe                   3324 Services                   0      9,516 K
svchost.exe                   3408 Services                   0     17,420 K
svchost.exe                   3432 Services                   0     17,136 K
svchost.exe                   3592 Services                   0     10,620 K
svchost.exe                   3704 Services                   0     17,164 K
svchost.exe                   3740 Services                   0     17,316 K
svchost.exe                   3772 Services                   0     10,584 K
svchost.exe                   3784 Services                   0     12,108 K
spoolsv.exe                   3864 Services                   0     11,800 K
svchost.exe                   4020 Services                   0      7,580 K
svchost.exe                   3476 Services                   0     29,280 K
svchost.exe                   3952 Services                   0     12,464 K
svchost.exe                   4112 Services                   0     32,320 K
svchost.exe                   4120 Services                   0      5,976 K
svchost.exe                   4128 Services                   0      7,548 K
svchost.exe                   4140 Services                   0      7,960 K
svchost.exe                   4156 Services                   0      5,192 K
svchost.exe                   4188 Services                   0     20,812 K
OneApp.IGCC.WinService.ex     4196 Services                   0     21,148 K
esif_uf.exe                   4212 Services                   0      4,832 K
jhi_service.exe               4248 Services                   0      5,456 K
KiteStudentPortal.Service     4264 Services                   0     16,696 K
RtkAudUService64.exe          4276 Services                   0     10,188 K
WavesSysSvc64.exe             4304 Services                   0      7,696 K
MsMpEng.exe                   4320 Services                   0    288,676 K
OfficeClickToRun.exe          4384 Services                   0     39,412 K
svchost.exe                   4392 Services                   0      8,276 K
svchost.exe                   4440 Services                   0      6,504 K
svchost.exe                   4500 Services                   0      5,060 K
svchost.exe                   4856 Services                   0     11,516 K
wlanext.exe                   4948 Services                   0      5,576 K
